"id";"case_type";"company_or_scenario";"industry";"ai_area";"financial_metric_type";"reported_financial_effect";"reported_money_low";"reported_money_high";"currency";"financial_percent_low";"financial_percent_high";"annualization";"supporting_operational_metric";"implementation_pattern";"revizor_zone";"recommended_reuse";"source_url";"source_quality";"confidence"
"FIN-001";"real_public";"Klarna";"Fintech, payments";"Customer service AI assistant";"profit_improvement";"Estimated USD 40M profit improvement in 2024";"40000000";"40000000";"USD";"";"";"annual_estimate";"2.3M conversations in first month, 2/3 of chats, 25% fewer repeat inquiries, resolution under 2 min vs 11 min";"LLM support agent integrated into refunds, returns and multilingual customer service";"operations, finance, marketing";"Use for presales-agent economics: compare consultant cost avoided, faster response and reduced repeat questions";"https://openai.com/index/klarna/";"primary_vendor_case";"high"
"FIN-002";"real_public";"PwC";"Professional services, consulting";"Microsoft 365 Copilot productivity";"time_savings_and_platform_savings";"USD 150M time savings from Copilot use plus USD 25M platform consolidation savings";"175000000";"175000000";"USD";"";"";"reported_total";"200K+ Copilot licenses and 40.8M Copilot actions in 6 months";"Global Copilot rollout plus platform consolidation";"team, finance, operations";"Use as top consulting benchmark for capacity creation and tool consolidation economics";"https://www.microsoft.com/en/customers/story/26160-pwc-microsoft-365-enterprise";"primary_vendor_case";"high"
"FIN-003";"real_public";"Allegis Group";"Talent solutions";"Microsoft Copilot, GitHub Copilot, Azure AI";"cost_savings";"USD 1.5M translation savings";"1500000";"1500000";"USD";"";"";"reported_total";"18K active users saved 150K hours";"Integrated AI ecosystem across employee productivity, developer work and translation";"operations, team, finance";"Use for language/translation and internal content workflows in consulting agencies";"https://www.microsoft.com/en/customers/story/25451-allegis-group-azure-ai-services";"primary_vendor_case";"high"
"FIN-004";"real_public";"TELUS";"Telecommunications";"Enterprise genAI platform";"economic_benefit";"USD 90M+ benefits to date";"90000000";"";"USD";"";"";"to_date";"57K+ employees enabled, 13K+ custom AI solutions, 500K+ hours saved, code shipping 30% faster";"Governed enterprise AI platform with model choice and custom solution creation";"strategy, operations, finance";"Use as benchmark for building a governed AI factory and tracking portfolio value";"https://cloud.google.com/customers/telusai";"primary_vendor_case";"high"
"FIN-005";"real_public";"IBM Virtual Enterprise";"Technology, consulting";"AI and automation at scale";"business_value";"USD 2.6B business value";"2600000000";"2600000000";"USD";"";"";"to_date";"4M work hours saved, AI infused into 65% of workflows";"Cross-enterprise intelligent workflows with AI and hybrid cloud";"strategy, operations, finance";"Use as executive benchmark for portfolio-level AI transformation economics";"https://www.ibm.com/case-studies/virtual-enterprise-intelligent-workflows";"primary_company_case";"high"
"FIN-006";"real_public";"IBM Supply Chain";"Technology, supply chain";"AI and automation in supply chain";"cost_reduction";"USD 160M supply chain cost reduction";"160000000";"160000000";"USD";"";"";"to_date";"Reduced inventory and optimized shipping costs";"AI and automation for supply-chain decisioning";"operations, finance";"Use for inventory, logistics and procurement diagnostics";"https://www.ibm.com/consulting/supply-chain";"primary_company_page";"high"
"FIN-007";"real_public";"IBM AskHR";"Technology, HR";"HR agentic AI";"cost_percent";"40% reduction in HR operational costs over 4 years";"";"";"USD";"40";"40";"multi_year";"94% containment of common questions, 75% fewer support tickets, 11.5M interactions in 2024";"watsonx Orchestrate agent integrated with HR systems";"team, operations, finance";"Use for internal support-agent cases where HR/admin teams are overloaded";"https://www.ibm.com/case-studies/ibm-askhr";"primary_company_case";"high"
"FIN-008";"real_public";"DBS Bank";"Banking";"Industrialized AI and personalization";"economic_value";"SGD 750M+ economic value in 2024";"750000000";"";"SGD";"";"";"annual";"1,500+ models, 370+ use cases, 1.2B personalized nudges";"Enterprise AI factory with model governance and customer journey integration";"strategy, marketing, finance";"Use as banking-scale benchmark for AI portfolio value governance";"https://www.dbs.com/annualreports/2024/innovating-impactful-solutions-for-customers.html";"primary_company_report";"high"
"FIN-009";"real_public";"ServiceNow";"Enterprise software";"Internal AI productivity";"cost_savings";"Reported USD 100M AI-related operating expense/headcount savings in 2025 and USD 500M annualized value";"100000000";"500000000";"USD";"";"";"annualized";"Now Assist ACV and internal AI adoption cited in reporting";"Internal AI deployment across enterprise workflows";"strategy, finance, team";"Use cautiously as public-reporting benchmark for AI operating leverage";"https://www.businessinsider.com/servicenow-targets-over-30-billion-subscription-revenue-2030-2026-5";"secondary_news";"medium"
"FIN-010";"real_public";"EXL";"Insurance, analytics";"Generative AI underwriting assistant";"cost_percent";"Up to 80% reduction in underwriting costs";"";"";"USD";"80";"80";"per_process";"Processing accelerated from days to hours, application built in 60 days";"RAG chatbot over underwriting documents using Amazon Bedrock, Kendra, Textract and Comprehend";"operations, finance";"Use for document-heavy audit and underwriting-style diagnostics";"https://aws.amazon.com/solutions/case-studies/exl-case-study/";"primary_vendor_case";"high"
"FIN-011";"real_public";"Chime Financial";"Fintech";"Call summarization";"cost_savings";"USD 700K annual efficiency gains";"700000";"700000";"USD";"";"";"annual";"250K+ hours saved yearly, 18 seconds lower handle time, NPS +5";"Amazon Bedrock call summaries inside service workflow";"operations, finance, marketing";"Use for discovery-call summarization and support after-call-work reduction";"https://aws.amazon.com/solutions/case-studies/chime-financial-case-study/";"primary_vendor_case";"high"
"FIN-012";"real_public";"Prime Focus Technologies";"Media and entertainment";"Agentic AI localization";"cost_percent";"20-30% lower content localization costs";"";"";"USD";"20";"30";"per_process";"30-40% faster turnaround and 20-30% more accurate outcomes";"Agentic AI for subtitling, translation and transcript workflows on Amazon Bedrock";"operations, marketing, finance";"Use for proposal localization and multilingual content production";"https://aws.amazon.com/solutions/case-studies/prime-focus-case-study/";"primary_vendor_case";"high"
"FIN-013";"real_public";"BlueOceanAI";"Marketing analytics";"Agentic AI brand strategy";"cost_percent";"66-96% lower marketing analytics costs and 21% lower operating expenses";"";"";"USD";"66";"96";"customer_process";"97% operational improvement and 4x faster marketing investment payback";"Multi-agent brand intelligence framework on Amazon Bedrock";"marketing, finance, strategy";"Use for marketing audit and competitive intelligence ROI cases";"https://aws.amazon.com/solutions/case-studies/blueoceanai-bedrock/";"primary_vendor_case";"high"
"FIN-014";"real_public";"BDM";"Document AI";"Document analysis automation";"cost_percent";"50% development cost reduction and 40% lower operational effort";"";"";"USD";"40";"50";"per_process";"85% faster analyses and 98% accuracy";"Generative AI document-processing models on Amazon Bedrock";"operations, finance";"Use for PDF/Excel audit automation with quality metrics";"https://aws.amazon.com/solutions/case-studies/bdm-case-study/";"primary_vendor_case";"high"
"FIN-015";"real_public";"Affinda";"Document AI";"Document AI product delivery";"cost_percent";"90% cost savings for product delivery team";"";"";"USD";"90";"90";"per_team";"90% setup-time reduction for new document use cases";"Generative AI document extraction on Amazon Bedrock";"operations, finance";"Use for reducing onboarding cost of new document formats";"https://aws.amazon.com/solutions/case-studies/affinda-case-study/";"primary_vendor_case";"high"
"FIN-016";"real_public";"Esper";"Mobile device management";"Cloud/AI infrastructure modernization";"cost_savings";"USD 250K annual cost savings and 30% lower compute costs";"250000";"250000";"USD";"30";"30";"annual";"25% application performance improvement and 20% lower API response time";"AWS Graviton migration for scalable backend";"operations, finance";"Use for AI infrastructure cost-control recommendations";"https://aws.amazon.com/solutions/case-studies/esper-case-study/";"primary_vendor_case";"high"
"FIN-017";"real_public";"Noodoe";"EV charging";"Generative AI pricing advisor";"revenue_percent";"10-25% revenue increase for charging station operators";"";"";"USD";"10";"25";"per_station";"Up to 3x faster time to market and 10% lower development costs";"Generative AI pricing recommendations using Amazon Bedrock";"marketing, finance, strategy";"Use for price optimization and revenue uplift recommendations";"https://aws.amazon.com/solutions/case-studies/noodoe/";"primary_vendor_case";"high"
"FIN-018";"real_public";"Towngas";"Utilities";"Cloud modernization and AI foundation";"cost_percent";"30-40% lower IT costs";"";"";"USD";"30";"40";"annual_run_rate";"50% less infrastructure management time and 150% faster service development";"AWS migration and modernization with AI-ready foundation";"operations, finance, strategy";"Use for IT cost reduction and AI-readiness roadmap";"https://aws.amazon.com/solutions/case-studies/towngas/";"primary_vendor_case";"high"
"FIN-019";"real_public";"Innovaccer";"Healthcare AI";"Cloud and AI platform modernization";"cost_percent";"33% lower cloud computing costs";"";"";"USD";"33";"33";"annual_run_rate";"65% less management overhead and 30% better data processing performance";"AWS modernization using Aurora, EKS, Graviton, SageMaker and Bedrock";"operations, finance";"Use for healthcare/data-platform cost optimization";"https://aws.amazon.com/solutions/case-studies/innovaccer-2024/";"primary_vendor_case";"high"
"FIN-020";"real_public";"Vital";"Healthcare software";"Clinical GenAI parsing";"cost_multiplier";"23x cost savings using Amazon Nova Micro for clinical data parsing";"";"";"USD";"";"";"per_model_workload";"94% of frequently missed dangerous findings detected and 99% safety evaluation accuracy";"Amazon Nova and Bedrock for clinical record analysis";"operations, finance, strategy";"Use for model-routing economics: smaller model for extraction, stronger model for reasoning";"https://aws.amazon.com/solutions/case-studies/vital-bedrock/";"primary_vendor_case";"high"
