Статья,2021 (тыс. руб.),2022 (тыс. руб.),2023 (тыс. руб.),% от выручки 2023
Выручка,2 418 500,3 021 700,3 642 000,100.0%
Себестоимость (продукты питание и упаковка),880 700,1 104 900,1 310 000,36.0%
Валовая прибыль,1 537 800,1 916 800,2 332 000,64.0%
Фонд оплаты труда (включая налоги),860 000,1 050 000,1 215 000,33.4%
Аренда помещений,412 000,538 000,640 000,17.6%
Коммунальные услуги,78 000,108 000,126 000,3.5%
Маркетинг и продвижение,52 000,65 000,78 000,2.1%
Амортизация,68 000,88 000,96 000,2.6%
Административные расходы,74 000,82 000,91 000,2.5%
Прочие операционные расходы,31 000,44 000,104 300,2.9%
EBIT,62 800,-58 200,-18 300,-0.5%
Налоги и финансовые расходы,8 500,6 900,0,0.0%
Чистая прибыль (убыток),54 300,-65 100,-18 300,-0.5%
