"id";"company";"industry";"company_scale";"ai_area";"use_case";"quantitative_effect";"effect_status";"implementation_pattern";"revizor_zone";"how_to_reuse_in_recommendations";"source_url";"source_type";"confidence"
"AI-001";"Klarna";"Fintech, payments, ecommerce";"enterprise";"Customer service, support automation";"AI assistant for customer service chats, refunds and returns";"2.3M conversations in first month, two-thirds of chats, equivalent work of 700 FTE, repeat inquiries down 25%, resolution time under 2 min vs 11 min, estimated USD 40M profit improvement in 2024";"actual";"LLM support agent integrated into service workflows with multilingual coverage";"operations, marketing, finance";"Use as benchmark for automated presales and client inquiry triage: track share of handled dialogs, repeat questions, cycle time and avoided labor cost";"https://openai.com/index/klarna/";"primary vendor customer story";"high"
"AI-002";"Klarna";"Fintech, payments, ecommerce";"enterprise";"Employee productivity";"Enterprise-wide generative AI adoption for internal teams";"90% of employees use OpenAI-powered generative AI tools daily, adoption in communications 93%, marketing 88%, legal 86%";"actual";"ChatGPT Enterprise deployed across functions with broad adoption";"team, strategy";"Use as adoption benchmark for rolling out AI workbench to consultants and proposal teams";"https://openai.com/index/klarna/";"primary vendor customer story";"high"
"AI-003";"Wayfair";"Retail, ecommerce";"enterprise";"Catalog quality, data enrichment";"OpenAI models correct product attributes across a very large catalog";"2.5M product tags corrected across over 1M high-visibility products, model coverage expanded at 70x the previous rate";"actual";"Tag-agnostic classification system with definition agent and human validation gates";"operations, marketing";"Use as benchmark for enriching client profiles and service catalogs from messy source data";"https://openai.com/index/wayfair/";"primary vendor customer story";"high"
"AI-004";"Wayfair";"Retail, supplier operations";"enterprise";"Supplier support automation";"AI triage and agentic flows for supplier support tickets";"41K supplier support tickets automated per month, up to 70% automation in some workflows, prototype to live in about 1 month";"actual";"Intent classification, missing-context filling, routing, draft responses and staged copilot-to-autopilot controls";"operations";"Use as pattern for routing diagnostics to the right consulting service and reducing manual qualification";"https://openai.com/index/wayfair/";"primary vendor customer story";"high"
"AI-005";"Rakuten";"Ecommerce, fintech, telecom";"enterprise";"Software engineering, incident response";"Codex assists SRE teams with monitoring queries, root-cause analysis and fixes";"Approx. 50% reduction in MTTR, issues fixed twice as fast";"actual";"Coding agent embedded into operational diagnostics and KQL/log workflows";"operations, team";"Use for Revizor observability recommendations: AI can reduce incident and diagnosis cycles when logs and playbooks are structured";"https://openai.com/index/rakuten/";"primary vendor customer story";"high"
"AI-006";"Rakuten";"Ecommerce, fintech, telecom";"enterprise";"Software engineering, autonomous builds";"Codex executes larger ambiguous builds from specifications";"Potential build time 3-4x faster, one mobile app project cut from one quarter to weeks";"actual";"Agentic software development from spec to backend and mobile implementation";"strategy, operations";"Use as proof that clear specs and acceptance tests turn AI from assistant into execution capacity";"https://openai.com/index/rakuten/";"primary vendor customer story";"high"
"AI-007";"Morgan Stanley";"Financial services, wealth management";"enterprise";"Knowledge management";"AI assistant answers financial advisors' internal knowledge questions";"Over 98% of advisor teams actively use AI @ Morgan Stanley Assistant";"actual";"GPT-4-based knowledge assistant with strong evaluation framework and controls";"strategy, team";"Use as benchmark for expert knowledge retrieval in consulting agencies: policy, methodology and service knowledge base";"https://openai.com/customer-stories/morgan-stanley/";"primary vendor customer story";"high"
"AI-008";"BBVA";"Banking";"enterprise";"Employee productivity, custom GPTs";"Scaling ChatGPT Enterprise across global bank teams";"Approx. 3 hours saved per employee per week, 83% weekly active usage, 80%+ efficiency improvements in workflow tests, 20K+ custom GPTs with around 4K used frequently";"actual";"Secure enterprise AI platform, training for leaders, governed custom GPT creation";"team, strategy, operations";"Use as reference for safe AI adoption program with training, governance and measurable workflow tests";"https://openai.com/index/bbva-2025";"primary vendor customer story";"high"
"AI-009";"Moderna";"Biopharma";"enterprise";"Enterprise GPT factory";"Employees create GPTs for clinical, legal, brand and operational work";"750 GPTs created within 2 months, 40% of weekly active users created GPTs, each user averaged 120 conversations per week";"actual";"Internal GPT creation platform with department-owned use cases";"team, strategy";"Use as pattern for letting consulting experts encode their methods as reusable diagnostic agents";"https://openai.com/index/moderna/";"primary vendor customer story";"high"
"AI-010";"Genmab";"Biopharma";"enterprise";"Knowledge work, research support";"ChatGPT Enterprise for document drafting, scientific literature, analytics and translation";"Average 3.5 hours saved per employee per week, 100+ custom GPTs, expansion from 1K to 2K+ licenses";"actual";"Enterprise AI rollout with compliance review and custom GPTs";"team, strategy";"Use as benchmark for knowledge worker time savings when tasks are document-heavy";"https://openai.com/index/genmab/";"primary vendor customer story";"high"
"AI-011";"HiBob";"HR technology";"mid-market";"AI adoption and product prototyping";"Custom GPT network for sales, onboarding, upsell and product prototyping";"90%+ employees actively use ChatGPT Enterprise, 2,500+ experimental GPTs, 200 internal workflows deployed";"actual";"Opt-out AI adoption with KPIs tied to each GPT";"team, marketing, strategy";"Use as model for tracking each AI agent against hours saved, revenue generated or satisfaction improved";"https://openai.com/index/hibob/";"primary vendor customer story";"medium"
"AI-012";"Presidio";"Digital services";"enterprise";"Copilot productivity, sales operations";"Microsoft 365 Copilot for email, meetings, RFPs and customer-facing content";"About 1,200 hours saved per month, 70 new business opportunities, customer RFP time reduced by 90%, project managers save 6 hours per week";"actual";"Copilot rollout to 300 employees plus 60+ trainings and adoption site";"marketing, operations, team";"Use as presales benchmark for shortening RFP and proposal preparation";"https://www.microsoft.com/en/customers/story/19401-presidio-network-solutions-microsoft-365-copilot";"primary vendor customer story";"high"
