Месяц,Выручка (тыс. руб.),Кол-во транзакций,Средний чек (руб.),Кол-во активных точек,Текучесть персонала (% уволившихся за месяц),Выручка на точку (тыс. руб.),Рост к прошлому году (%)
Январь 2023,245 000,148 500,1 649,54,4.2%,4 537,+17%
Февраль 2023,268 000,162 400,1 650,54,5.1%,4 963,+19%
Март 2023,295 000,178 800,1 650,55,6.8%,5 364,+22%
Апрель 2023,290 000,175 800,1 650,55,7.2%,5 273,+18%
Май 2023,310 000,187 900,1 650,56,8.5%,5 536,+20%
Июнь 2023,285 000,172 700,1 651,56,9.1%,5 089,+15%
Июль 2023,278 000,168 500,1 650,56,10.3%,4 964,+14%
Август 2023,272 000,164 800,1 651,56,9.8%,4 857,+13%
Сентябрь 2023,305 000,184 800,1 650,57,7.4%,5 351,+16%
Октябрь 2023,318 000,192 700,1 650,57,6.1%,5 579,+18%
Ноябрь 2023,330 000,200 000,1 650,58,5.5%,5 690,+20%
Декабрь 2023,446 000,270 300,1 650,58,4.8%,7 690,+25%
ИТОГО 2023,3 642 000,2 207 200,1 650 (avg),58 (дек.),6.9% (avg),52 793 (avg/год),+18%
